latitude,longitude,empty_slots,free_bikes,total_bike_slots
49.262822,-123.14338,14,5,19
49.263635,-123.099236,0,12,12
49.28763,-123.127245,9,10,19
49.297933,-123.130758,8,12,20
49.258819,-123.131317,10,4,14
49.280284,-123.097052,10,4,14
49.276294,-123.106534,9,9,18
49.277469,-123.081315,7,7,14
49.277665,-123.073653,13,9,22
49.277436,-123.070427,3,13,16
49.280332,-123.070068,12,4,16
49.279369,-123.091241,8,6,14
49.283992,-123.091206,10,10,20
49.274881,-123.069323,8,6,14
49.275882,-123.071865,6,7,13
49.273777,-123.092723,8,6,14
49.265005,-123.079481,17,10,27
49.271377,-123.069416,12,2,14
49.268616,-123.069908,17,5,22
49.266969,-123.069936,8,6,14
49.263242,-123.070521,15,5,20
49.261403,-123.070102,17,9,26
49.261263,-123.073707,9,5,14
49.262242,-123.081459,10,8,18
49.262321,-123.09306,5,9,14
49.264251,-123.073853,5,6,11
49.266751,-123.073501,5,8,13
49.270684,-123.073562,8,3,11
49.2731,-123.0732,7,7,14
49.254667,-123.101389,11,5,16
49.256694,-123.096579,6,8,14
49.258352,-123.096337,4,10,14
49.258817,-123.092797,10,6,16
49.26151,-123.089413,9,5,14
49.263382,-123.088837,5,11,16
49.261353,-123.085333,3,8,11
49.264466,-123.085183,7,13,20
49.280197,-123.065859,6,10,16
49.266725,-123.065925,11,5,16
49.261188,-123.066009,8,3,11
49.256857,-123.065646,16,2,18
49.283986,-123.065264,6,12,18
49.257985,-123.083366,6,8,14
49.257939,-123.089531,11,4,15
49.256496,-123.075426,8,6,14
49.283236,-123.070443,9,7,16
49.267266,-123.090786,13,3,16
49.265242,-123.095577,6,9,15
49.265213,-123.090785,9,7,16
49.302577,-123.155616,30,7,37
49.277595,-123.09583,4,11,15
49.279235,-123.087528,7,9,16
49.277333,-123.087359,4,12,16
49.273103,-123.069892,9,13,22
49.261973,-123.09725,9,11,20
49.275295,-123.132585,11,11,22
49.285871,-123.12105,19,9,28
49.284893,-123.128685,9,18,27
49.263962,-123.112621,12,12,24
49.277615,-123.091654,4,8,12
49.282214,-123.114101,11,11,22
49.266456,-123.100324,6,15,21
49.268216,-123.103168,15,5,20
49.284554,-123.111031,6,10,16
49.280216,-123.117639,15,5,20
49.266314,-123.116011,12,13,25
49.280852,-123.084746,7,7,14
49.285512,-123.1384,1,17,18
49.27821,-123.136972,26,14,40
49.281301,-123.139108,7,15,22
49.283298,-123.142288,7,15,22
49.280787,-123.115271,11,7,18
49.266476,-123.109389,5,13,18
49.290587,-123.13625,2,16,18
49.262835,-123.152626,12,5,17
49.256825,-123.105234,8,6,14
49.275683,-123.124388,9,5,14
49.263518,-123.09568,9,9,18
49.28691,-123.128818,7,13,20
49.282503,-123.124697,10,8,18
49.283749,-123.136133,13,9,22
49.262944,-123.148109,11,3,14
49.27029,-123.135025,19,13,32
49.280427,-123.074082,12,3,15
49.279259,-123.119145,3,15,18
49.285836,-123.127265,19,7,26
49.272969,-123.164325,8,12,20
49.27247,-123.185643,3,21,24
49.271471,-123.17731,5,9,14
49.290112,-123.127062,11,13,24
49.263523,-123.155267,7,10,17
49.264928,-123.168068,6,14,20
49.264483,-123.173926,9,8,17
49.264579,-123.18373,17,9,26
49.263746,-123.069892,15,1,16
49.258761,-123.127071,11,3,14
49.268974,-123.190701,4,14,18
49.273011,-123.159663,6,13,19
49.266924,-123.173849,7,9,16
49.264326,-123.164725,6,10,16
49.266636,-123.183661,13,3,16
49.254818,-123.114785,12,12,24
49.268837,-123.177633,9,14,23
49.255034,-123.120226,7,9,16
49.271044,-123.170661,10,6,16
49.252691,-123.101289,12,4,16
49.272172,-123.097978,8,10,18
49.271082,-123.191458,26,8,34
49.27808,-123.130557,14,10,24
49.269969,-123.109623,10,10,20
49.287528,-123.142139,16,14,30
49.28803,-123.142135,17,9,26
49.259579,-123.114769,10,3,13
49.2890705989865,-123.138407369468,6,12,18
49.287782,-123.12395,8,6,14
49.28512,-123.11242,16,3,19
49.247854,-123.153422,11,5,16
49.265939,-123.1129,9,9,18
49.261122,-123.097571,6,6,12
49.267725,-123.11311,8,7,15
49.245135,-123.116098,13,7,20
49.274232,-123.129998,5,8,13
49.238105,-123.154966,16,4,20
49.246243,-123.124373,16,4,20
49.249722,-123.104991,9,4,13
49.243375,-123.104978,18,4,22
49.282087,-123.056909,11,9,20
49.283968,-123.061615,5,11,16
49.287464,-123.060771,13,5,18
49.285575,-123.061575,12,6,18
49.251358,-123.115637,9,5,14
49.249184,-123.116141,14,4,18
49.245535,-123.120496,19,3,22
49.289255,-123.132677,12,13,25
49.252656,-123.067965,11,8,19
49.259469,-123.145718,3,14,17
49.277178,-123.13,10,14,24
49.291597,-123.129158,11,9,20
49.247204,-123.101549,19,3,22
49.2856698,-123.1125432,13,5,18
49.25094,-123.101306,7,7,14
49.270783,-123.141564,8,12,20
49.264019,-123.209176,17,5,22
49.2658,-123.20596,7,13,20
49.265442,-123.187738,6,14,20
49.267561,-123.252261,10,9,19
49.2665793,-123.2485487,14,12,26
49.26262,-123.2431,18,6,24
49.278529,-123.100017,13,9,22
49.282047,-123.133057,12,8,20
49.277773,-123.114237,8,12,20
49.263073,-123.254307,8,12,20
49.259999,-123.250902,20,6,26
49.25478,-123.23621,15,13,28
49.27751,-123.061429,11,9,20
